,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
34081,Northridge Coop I,Queens,1950,Multifamily Housing,Multifamily,100,151.3,26702547.1,6426843.1,2132.0,7223.6
34082,(QP3215) - 9101 32-15,Queens,1927,Multifamily Housing,Multifamily,100,156.4,24384312.42738699,889718.2,497.0,5388.7
34083,33-33 82nd Street,Queens,1952,Multifamily Housing,Multifamily,100,165.0,7943382.6,1103645.6,513.4,6473.7
34084,"The Bukawyn Co., LLC",Queens,1950,Multifamily Housing,Multifamily,100,85.9,24384312.42738699,535549.9,242.1,4036.4
34085,Theo: 33-51 84 Street,Queens,1932,Multifamily Housing,Multifamily,100,96.0,3356199.9,669441.2,233.8,3801.7
34086,Saxony Heights Corp.,Queens,1951,Multifamily Housing,Multifamily,100,105.5,4180807.9,1080848.6,311.7,3928.0
34087,Lovett - 87-09 34 Avenue,Queens,1951,Multifamily Housing,Multifamily,100,171.6,5358345.8,1015632.8,389.3,16217.966089617938
34088,Lovett - 88-11 34 Avenue,Queens,1950,Multifamily Housing,Multifamily,100,138.7,5358345.8,1411151.8,422.1,6057.0
34089,Lovett - 33-25 90th Street,Queens,1957,Multifamily Housing,Multifamily,100,110.8,20290639.8,6254946.7,1596.5,16217.966089617938
34090,33-49 91st Street - 20156,Queens,1958,Multifamily Housing,Multifamily,100,104.4,22448135.3,6969197.5,1770.3,17191.7
34091,Southridge,Queens,1958,Multifamily Housing,Multifamily,100,111.5,23656299.0,6855662.8,1825.1,16270.1
34092,TKR - 33-04 Junction Blvd,Queens,1959,Multifamily Housing,Multifamily,100,119.8,15376015.8,4546692.5,1193.8,14382.8
34093,ARIS: 82-15 35th Ave,Queens,1936,Multifamily Housing,Multifamily,100,82.7,2987200.3,583793.2,213.6,2165.6
34094,ARIS: 34-57 82nd Street,Queens,1936,Multifamily Housing,Multifamily,100,91.2,3048000.4,710218.0,227.5,1880.6
34095,34-20 83rd Street,Queens,1929,Multifamily Housing,Multifamily,100,155.5,3530499.6,1032252.8,312.6,2890.6
34096,SW - 83-09 35th Avenue,Queens,1925,Multifamily Housing,Multifamily,100,181.3,5842643.3,857110.2,484.8,16217.966089617938
34097,Equitable: 84-10 34th Ave,Queens,1951,Multifamily Housing,Multifamily,100,127.9,4059700.6,805685.8,400.2,4187.6
34098,Westleigh Company LLC,Queens,1947,Multifamily Housing,Multifamily,100,134.0,6715000.1,1201558.5,456.3,5225.1
34099,The Saybrook: 85-10 34th Ave,Queens,1937,Multifamily Housing,Multifamily,100,33.7,104212.9,1085991.7,95.6,3729.3
34100,Pinnacle - 85-05 35 Ave,Queens,1952,Multifamily Housing,Multifamily,100,165.2,5304912.9,1446768.1,462.2,6125.9
34101,AAR: 34-41 85 Street,Queens,1946,Multifamily Housing,Multifamily,100,86.2,1025000.0,2010336.7,858.7,5032.9
34102,The Griswold - 86-10 34th Avenue,Queens,1937,Multifamily Housing,Multifamily,100,96.9,5832099.0,1275450.8,415.5,5752.4
34103,Lovett - 87-10 34 Avenue,Queens,1950,Multifamily Housing,Multifamily,100,136.9,5358345.8,1411151.8,422.1,5795.9
34104,Ceebraid: 87-07/11 35th Avenue,Queens,1951,Multifamily Housing,Multifamily,100,118.6,3168000.1,935696.7,475.2,5063.6
