,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
29231,Impact: 801 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,129.2,177900.0,842576.4,457.7,2342.2
29232,Livingston: 779 Riverside Drive,Manhattan,1926,Multifamily Housing,Multifamily,100,110.6,279700.0,1325763.3,753.8,3346.0
29233,807 Riverside Drive,Manhattan,1900,Multifamily Housing,Multifamily,100,176.1,154913.5,1029652.4,509.1,5205.6
29234,Gold River Capital LLC (839),Manhattan,1921,Multifamily Housing,Multifamily,100,156.0,169375.0,762729.9,562.0,4841.4
29235,Gold River Capital LLC (845),Manhattan,1920,Multifamily Housing,Multifamily,100,148.0,526729.0,838093.5,578.3,3969.9
29236,Gold River Capital LLC (853),Manhattan,1920,Multifamily Housing,Multifamily,100,143.0,407844.6,798959.7,619.1,4110.7
29237,"River Arts Apartments, Inc.",Manhattan,1941,Multifamily Housing,Multifamily,100,102.9,372250.0,3893789.9,1840.9,9342.4
29238,Pinnacle - 827 Riverside Dr,Manhattan,1920,Multifamily Housing,Multifamily,100,107.5,24384312.42738699,997621.6,517.1,16217.966089617938
29239,611 West 158th Street,Manhattan,1920,Multifamily Housing,Multifamily,100,121.4,3947397.3,785777.1,274.8,5511.3
29240,Heritage Realty: 820 Riverside Drive,Manhattan,1921,Multifamily Housing,Multifamily,100,103.5,158600.0,582319.2,374.5,4332.7
29241,838 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,97.4,3547000.2,557200.0,234.6,16217.966089617938
29242,BW 860 Associates,Manhattan,1915,Multifamily Housing,Multifamily,100,138.8,130000.0,1141849.7,703.5,6258.1
29243,870 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,105.6,1058100.0,626224.8,462.8,16217.966089617938
29244,Ventura: 35 Fort Washington Ave,Manhattan,1910,Multifamily Housing,Multifamily,100,153.9,264700.0,798776.5,480.5,3659.4
29245,47 Fort Washington Ave,Manhattan,1983,Multifamily Housing,Multifamily,100,110.2,24384312.42738699,808848.7,395.7,3451.0
29246,665 WEST 160 HOLDINGS LLC,Manhattan,1920,Multifamily Housing,Multifamily,95,141.1,359363.6,743572.2,526.8,7262.4
29247,665 West 160th Street,Manhattan,1914,Multifamily Housing,Multifamily,100,61.1,393300.0,749601.0,420.5,16217.966089617938
29248,884 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,113.9,441000.0,926818.7,487.5,5924.0
29249,Riverside Drive 894 Realty LLC,Manhattan,1915,Multifamily Housing,Multifamily,100,140.8,348900.0,1049162.7,602.9,6319.5
29250,674 West 161st Street,Manhattan,1920,Multifamily Housing,Multifamily,100,139.0,4296000.1,907734.8,303.5,6153.7
29251,664 West 161st Street,Manhattan,1916,Multifamily Housing,Multifamily,100,130.8,24384312.42738699,840699.7,389.3,4575.6
29252,Ventura:  654 West 161st Street,Manhattan,1915,Multifamily Housing,Multifamily,100,154.7,305800.0,979312.2,582.1,6714.9
29253,75 Fort Washington Avenue,Manhattan,1950,Multifamily Housing,Multifamily,100,140.0,5535000.0,1334034.0,404.6,16217.966089617938
29254,Stellar - 65 Ft. Washington Ave,Manhattan,1973,Multifamily Housing,Multifamily,100,128.7,5871012.3,995854.7,394.4,7410.2
29255,657 West 161st Street,Manhattan,1915,Multifamily Housing,Multifamily,100,104.4,3156212.0,1030507.0,253.1,16217.966089617938
29256,667 West 161st Street,Manhattan,1900,Multifamily Housing,Multifamily,100,150.3,361325.0,933142.2,557.0,7020.5
29257,900 Riverside,Manhattan,1915,Multifamily Housing,Multifamily,95,59.9,326204.5,1667365.0,155.6,16217.966089617938
29258,910 Riverside LLC,Manhattan,1949,Multifamily Housing,Multifamily,100,127.0,24384312.42738699,235205.5,671.9,5412.8
29259,Successful Mgmt- 656 West 162 Street,Manhattan,1920,Multifamily Housing,Multifamily,100,129.9,100707.8,824927.9,386.5,4524.2
29260,Guadalupe Realty LLC,Manhattan,1920,Multifamily Housing,Multifamily,100,57.5,24384312.42738699,1106355.7,91.8,870.7
29261,97 Fort Washington Avenue,Manhattan,1920,Multifamily Housing,Multifamily,100,160.7,4630482.8,1487479.0,369.3,16217.966089617938
29262,Ventura: 659 West 162nd Street,Manhattan,1922,Multifamily Housing,Multifamily,100,114.5,292600.0,879736.4,408.2,5942.4
29263,671 West 162nd Street,Manhattan,1922,Multifamily Housing,Multifamily,100,117.1,4311880.0,768173.2,292.7,5738.0
29264,Pelican: 920 Riverside Drive,Manhattan,1922,Multifamily Housing,Multifamily,100,111.7,5887300.1,1017622.2,397.1,4539.9
29265,664 West 163rd Street,Manhattan,1923,Multifamily Housing,Multifamily,100,152.8,39400.0,987507.8,523.0,1967.4
29266,652 West 163rd Street,Manhattan,1923,Multifamily Housing,Multifamily,100,141.7,153876.0,993086.1,502.3,2466.7
29267,FORT WASHINGTON AVENUE REHAB,Manhattan,1984,Multifamily Housing,Multifamily,100,133.0,5133333.4,5254704.8,1968.9,12862.8
29268,Pinnacle - 812 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,140.8,24384312.42738699,897130.3,423.7,4082.9
29269,Successful Mgmt- 601 West 160 Street,Manhattan,1913,Multifamily Housing,Multifamily,100,167.0,1320250.0,2023432.7,1007.0,6197.5
29270,"GVS Properties, LLC/600W161St",Manhattan,1920,Multifamily Housing,Multifamily,100,91.3,1271873.6,1691632.1,427.5,5830.0
29271,80 Fort Washington Ave,Manhattan,1920,Multifamily Housing,Multifamily,100,91.4,5284500.3,237495.7,300.4,6849.6
29272,66-72 Fort Washington Ave,Manhattan,1920,Multifamily Housing,Multifamily,100,118.5,4654199.8,1017226.3,331.6,6012.4
29273,56 Fort Washington Ave,Manhattan,1915,Multifamily Housing,Multifamily,100,128.9,4415500.2,792996.6,300.3,7852.3
29274,Fort Wash Capital LLC (46),Manhattan,1920,Multifamily Housing,Multifamily,100,212.8,283688.0,816020.2,874.3,1276.9
